time_sec,wall_time_s,vx_mps,vy_mps,vyaw_radps,last_move_ret
2.213800,1784133844.542493,0.000000,0.000000,0.000000,0
2.223858,1784133844.552551,0.000000,0.000000,0.000000,0
2.233916,1784133844.562609,0.000000,0.000000,0.000000,0
2.243975,1784133844.572668,0.000000,0.000000,0.000000,0
2.254033,1784133844.582725,0.000000,0.000000,0.000000,0
2.264093,1784133844.592786,0.000000,0.000000,0.000000,0
2.274151,1784133844.602843,0.000000,0.000000,0.000000,0
2.284213,1784133844.612906,0.000000,0.000000,0.000000,0
2.294271,1784133844.622963,0.000000,0.000000,0.000000,0
2.304329,1784133844.633022,0.000000,0.000000,0.000000,0
2.314387,1784133844.643079,0.000000,0.000000,0.000000,0
2.324446,1784133844.653139,0.000000,0.000000,0.000000,0
2.334505,1784133844.663197,0.000000,0.000000,0.000000,0
2.344563,1784133844.673256,0.000000,0.000000,0.000000,0
2.354623,1784133844.683315,0.000000,0.000000,0.000000,0
2.364687,1784133844.693381,0.000000,0.000000,0.000000,0
2.374748,1784133844.703441,0.000000,0.000000,0.000000,0
2.384810,1784133844.713504,0.000000,0.000000,0.000000,0
2.394869,1784133844.723562,0.000000,0.000000,0.000000,0
2.404934,1784133844.733630,0.000000,0.000000,0.000000,0
2.414996,1784133844.743689,0.000000,0.000000,0.000000,0
2.425055,1784133844.753748,0.000000,0.000000,0.000000,0
2.435113,1784133844.763805,0.000000,0.000000,0.000000,0
2.445172,1784133844.773864,0.000000,0.000000,0.000000,0
2.455229,1784133844.783921,0.000000,0.000000,0.000000,0
2.465288,1784133844.793981,0.000000,0.000000,0.000000,0
2.475347,1784133844.804040,0.000000,0.000000,0.000000,0
2.485408,1784133844.814101,0.000000,0.000000,0.000000,0
2.495468,1784133844.824161,0.000000,0.000000,0.000000,0
2.505527,1784133844.834219,0.000000,0.000000,0.000000,0
2.515586,1784133844.844279,0.000000,0.000000,0.000000,0
2.525645,1784133844.854337,0.000000,0.000000,0.000000,0
2.535704,1784133844.864396,0.000000,0.000000,0.000000,0
2.545765,1784133844.874458,0.000000,0.000000,0.000000,0
2.555825,1784133844.884519,0.000000,0.000000,0.000000,0
2.565886,1784133844.894579,0.000000,0.000000,0.000000,0
2.575948,1784133844.904640,0.000000,0.000000,0.000000,0
2.586006,1784133844.914699,0.000000,0.000000,0.000000,0
2.596065,1784133844.924757,0.000000,0.000000,0.000000,0
2.606130,1784133844.934827,0.000000,0.000000,0.000000,0
2.616193,1784133844.944886,0.000000,0.000000,0.000000,0
2.626253,1784133844.954946,0.000000,0.000000,0.000000,0
2.636312,1784133844.965004,0.000000,0.000000,0.000000,0
2.646370,1784133844.975063,0.000000,0.000000,0.000000,0
2.656428,1784133844.985120,0.000000,0.000000,0.000000,0
2.666486,1784133844.995179,0.000000,0.000000,0.000000,0
2.676546,1784133845.005239,0.000000,0.000000,0.000000,0
2.686606,1784133845.015299,0.000000,0.000000,0.000000,0
2.696665,1784133845.025358,0.000000,0.000000,0.000000,0
2.706724,1784133845.035417,0.000000,0.000000,0.000000,0
2.716784,1784133845.045477,0.000000,0.000000,0.000000,0
2.726843,1784133845.055535,0.000000,0.000000,0.000000,0
2.736902,1784133845.065595,0.000000,0.000000,0.000000,0
2.746962,1784133845.075655,0.000000,0.000000,0.000000,0
2.757021,1784133845.085713,0.000000,0.000000,0.000000,0
2.767080,1784133845.095773,0.000000,0.000000,0.000000,0
2.777140,1784133845.105834,0.000000,0.000000,0.000000,0
2.787200,1784133845.115894,0.000000,0.000000,0.000000,0
2.797261,1784133845.125953,0.000000,0.000000,0.000000,0
2.807327,1784133845.136022,0.000000,0.000000,0.000000,0
2.817387,1784133845.146080,0.000000,0.000000,0.000000,0
2.827446,1784133845.156138,0.000000,0.000000,0.000000,0
2.837504,1784133845.166196,0.000000,0.000000,0.000000,0
2.847562,1784133845.176255,0.000000,0.000000,0.000000,0
2.857621,1784133845.186313,0.000000,0.000000,0.000000,0
2.867683,1784133845.196377,0.000000,0.000000,0.000000,0
2.877743,1784133845.206436,0.000000,0.000000,0.000000,0
2.887802,1784133845.216495,0.000000,0.000000,0.000000,0
2.897861,1784133845.226553,0.000000,0.000000,0.000000,0
2.907920,1784133845.236613,0.000000,0.000000,0.000000,0
2.917979,1784133845.246671,0.000000,0.000000,0.000000,0
2.928037,1784133845.256730,0.000000,0.000000,0.000000,0
2.938097,1784133845.266789,0.000000,0.000000,0.000000,0
2.948108,1784133845.276801,0.000000,0.000000,0.000000,0
2.958166,1784133845.286859,0.000000,0.000000,0.000000,0
2.968188,1784133845.296882,0.000000,0.000000,0.000000,0
2.978248,1784133845.306940,0.000000,0.000000,0.000000,0
2.988257,1784133845.316950,0.000000,0.000000,0.000000,0
2.998319,1784133845.327013,0.000000,0.000000,0.000000,0
3.008334,1784133845.337028,0.000000,0.000000,0.000000,0
3.018394,1784133845.347087,0.000000,0.000000,0.000000,0
3.028455,1784133845.357149,0.000000,0.000000,0.000000,0
3.038514,1784133845.367206,0.000000,0.000000,0.000000,0
3.048576,1784133845.377269,0.000000,0.000000,0.000000,0
3.058635,1784133845.387327,0.000000,0.000000,0.000000,0
3.068694,1784133845.397387,0.000000,0.000000,0.000000,0
3.078752,1784133845.407444,0.000000,0.000000,0.000000,0
3.088811,1784133845.417504,0.000000,0.000000,0.000000,0
3.098869,1784133845.427562,0.000000,0.000000,0.000000,0
3.108928,1784133845.437620,0.000000,0.000000,0.000000,0
3.118987,1784133845.447680,0.000000,0.000000,0.000000,0
3.129047,1784133845.457740,0.000000,0.000000,0.000000,0
3.139106,1784133845.467798,0.000000,0.000000,0.000000,0
3.149166,1784133845.477858,0.000000,0.000000,0.000000,0
3.159226,1784133845.487919,0.000000,0.000000,0.000000,0
3.169285,1784133845.497978,0.000000,0.000000,0.000000,0
3.179344,1784133845.508036,0.000000,0.000000,0.000000,0
3.189404,1784133845.518098,0.000000,0.000000,0.000000,0
3.199464,1784133845.528156,0.000000,0.000000,0.000000,0
3.209528,1784133845.538224,0.000000,0.000000,0.000000,0
3.219588,1784133845.548280,0.000000,0.000000,0.000000,0
3.229647,1784133845.558340,0.000000,0.000000,0.000000,0
3.239706,1784133845.568398,0.000000,0.000000,0.000000,0
3.249766,1784133845.578459,0.000000,0.000000,0.000000,0
3.259825,1784133845.588517,0.000000,0.000000,0.000000,0
3.269884,1784133845.598577,0.000000,0.000000,0.000000,0
3.279952,1784133845.608646,0.000000,0.000000,0.000000,0
3.290017,1784133845.618712,0.000000,0.000000,0.000000,0
3.300078,1784133845.628770,0.000000,0.000000,0.000000,0
3.310137,1784133845.638830,0.000000,0.000000,0.000000,0
3.320196,1784133845.648888,0.000000,0.000000,0.000000,0
3.330254,1784133845.658947,0.000000,0.000000,0.000000,0
3.340312,1784133845.669005,0.000000,0.000000,0.000000,0
3.350371,1784133845.679063,0.000000,0.000000,0.000000,0
3.360431,1784133845.689123,0.000000,0.000000,0.000000,0
3.370490,1784133845.699183,0.000000,0.000000,0.000000,0
3.380553,1784133845.709245,0.000000,0.000000,0.000000,0
3.390612,1784133845.719305,0.000000,0.000000,0.000000,0
3.400672,1784133845.729365,0.000000,0.000000,0.000000,0
3.410735,1784133845.739430,0.000000,0.000000,0.000000,0
3.420796,1784133845.749488,0.000000,0.000000,0.000000,0
3.430854,1784133845.759547,0.000000,0.000000,0.000000,0
3.440917,1784133845.769612,0.000000,0.000000,0.000000,0
3.450977,1784133845.779670,0.000000,0.000000,0.000000,0
3.461040,1784133845.789734,0.000000,0.000000,0.000000,0
3.471102,1784133845.799795,0.000000,0.000000,0.000000,0
3.481164,1784133845.809856,0.000000,0.000000,0.000000,0
3.491227,1784133845.819919,0.000000,0.000000,0.000000,0
3.501287,1784133845.829980,0.000000,0.000000,0.000000,0
3.511348,1784133845.840040,0.000000,0.000000,0.000000,0
3.521409,1784133845.850102,0.000000,0.000000,0.000000,0
3.531469,1784133845.860162,0.000000,0.000000,0.000000,0
3.541533,1784133845.870226,0.000000,0.000000,0.000000,0
3.551591,1784133845.880284,0.000000,0.000000,0.000000,0
3.561656,1784133845.890350,0.000000,0.000000,0.000000,0
3.571716,1784133845.900409,0.000000,0.000000,0.000000,0
3.581780,1784133845.910473,0.000000,0.000000,0.000000,0
3.591839,1784133845.920531,0.000000,0.000000,0.000000,0
3.601902,1784133845.930596,0.000000,0.000000,0.000000,0
3.611961,1784133845.940655,0.000000,0.000000,0.000000,0
3.622023,1784133845.950715,0.000000,0.000000,0.000000,0
